Submitted at,Country you live and work in,City,Gender,Your age,Your job title,UI/UX Designer,What is your current type of employment?,Level of seniority,Primary field of work,Years of relevant design experience,Years of total working experience,Years of relevant experience_grouped,Highest level of formal education attained,Did you have design-related education (Formal/informal)?,Select the relevant design-related education. Select all that apply.,"Select the relevant design-related education. Select all that apply. (Formal design education (Diploma, Degree..))",Select the relevant design-related education. Select all that apply. (Online certification (e.g. Coursera or IDF)),Select the relevant design-related education. Select all that apply. (Bootcamps (e.g. General Assembly)),Select the relevant design-related education. Select all that apply. (In-person certified courses),Select the relevant design-related education. Select all that apply. (Self-taught / informal / unstructured courses),Have you lived and worked in another country?,Currency you draw your salary in,Would you like to share your base salary on a monthly or annual basis?,Annual base salary,Monthly base salary,Annual bonus,Annual stock grant (in local currency),Other compensation (annual basis),Annual Total Comp,Annual Total Comp (SGD),Exclude,More than 1 row_jobtitle,Other benefits,What type of company do you currently work for?,Industry your company is in,Company size,Size of design team,Are you physically located at your company headquarters?,Work arrangement at company,Company name
23/10/2024 2:09,Indonesia,Jakarta,Male,25 - 30,Web Designer,Graphic Designer,Full-time employee,Mid-level IC,"UI UX Design, Website Maintenance, Web design",2,11,Up to 3 years,Bachelor's degree,Yes,Bootcamps (e.g. General Assembly),FALSE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"6,640,000","12,000,000",,,"91,680,000","7,701",,Y,"Health insurance, Transport subsidies, Onsite food / snacks",Small-medium enterprise,Financial services,51 - 200,Team of 1,Yes,Fully on-site,Next TI
23/10/2024 2:10,Indonesia,Jakarta,Male,18 - 24,Lead Graphic Designer,Graphic Designer,Full-time employee,Lead / Staff / Principal IC,Marketing / graphic design,4,2,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"8,000,000","8,000,000",,,"104,000,000","8,736",,Y,,Small-medium enterprise,Consumer products,201 - 1000,2-Oct,Yes,Fully on-site,Momoyo Indonesia
23/10/2024 2:11,Indonesia,Makassar,Male,18 - 24,Graphic Design,UI/UX Designer,Full-time employee,Mid-level IC,Marketing / graphic design,4,2.5,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF), Self-taught / informal / unstructured courses",TRUE,TRUE,FALSE,FALSE,TRUE,Yes,IDR,Monthly,,"4,000,000",,,,"48,000,000","4,032",,Y,"Health insurance, Meal subsidies, Transport subsidies",Large enterprise (MNC),"Retail, wholesale & distribution",201 - 1000,2-Oct,Not applicable,Fully on-site,CitraCosmetic Makassar
23/10/2024 2:15,Indonesia,Other,Female,18 - 24,UI/UX Designer,Product designer,Full-time employee,Junior IC (Entry level),Product / UX design,1,2,Up to 3 years,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses, Formal design education (Diploma, Degree..)",TRUE,TRUE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"6,000,000",,,"500,000","72,500,000","6,090",,Y,"Allowance for flexible working arrangement (remote/co-working space), Meal subsidies",Start-up,"Technology, media & telecommunications",Nov-50,Team of 1,Yes,4 days on-site,
23/10/2024 2:16,Singapore,Singapore,Female,25 - 30,Product Designer,Product designer,Full-time employee,Junior IC (Entry level),Product / UX design,1,1,Up to 3 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly), Online certification (e.g. Coursera or IDF)",TRUE,TRUE,TRUE,FALSE,FALSE,Yes,SGD,Annual,"60,000",,"6,250",,,"66,250","66,250",,Y,"Dental insurance, Flexible schedule, Health insurance, Paid time off / vacation time, Paid medical leave",Start-up,Health care,Nov-50,2-Oct,Yes,2 days on-site,
23/10/2024 2:16,Indonesia,Jakarta,Male,36 - 40,Product Designer,UI/UX Designer,Full-time employee,Mid-level IC,Visual / UI design,3,10,3 to 5 years,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Self-taught / informal / unstructured courses",FALSE,TRUE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"9,000,000",,,,"108,000,000","9,072",,Y,"Allowance for flexible working arrangement (remote/co-working space), Health insurance",Small-medium enterprise,Financial services,Nov-50,2-Oct,Yes,2 days on-site,
23/10/2024 2:17,Indonesia,Malang,Male,25 - 30,Experience Designer,Graphic Designer,Full-time employee,Mid-level IC,Product / UX design,5,5,5 to 10 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"17,500,000","35,000,000",,,"245,000,000","20,580",,Y,"Paid medical leave, Paid time off / vacation time, Dental insurance, Flexible schedule, Professional development, training, or learning fund, Health insurance",Agency / Consulting,"Technology, media & telecommunications",Nov-50,2-Oct,No,Fully remote,
23/10/2024 2:18,Indonesia,Medan,Male,31 - 35,Graphic Designer,Graphic Designer,Full-time employee,Senior IC,Graphic Designer,8,5,5 to 10 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"4,000,000",,,,"48,000,000","4,032",,Y,"THR, and Hybrid",Start-up,Fashion E-comm,51 - 200,Team of 1,Yes,2 days on-site,-
23/10/2024 2:19,Indonesia,Yogyakarta,Male,18 - 24,Graphic Designer,UI/UX Designer,Full-time employee,Junior IC (Entry level),Marketing / graphic design,3,2,3 to 5 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"1,300,000",,,,"15,600,000","1,310",,Y,"Meal subsidies, Flexible schedule",Agency / Consulting,Marketing,Nov-50,2-Oct,Yes,3 days on-site,
23/10/2024 2:20,Indonesia,Jombang,Male,18 - 24,UI/UX Designer,UI/UX Designer,Full-time employee,Mid-level IC,Visual / UI design,3,3,3 to 5 years,High school / secondary school,No,,,,,,,Yes,IDR,Monthly,,"4,500,000",,,"4,500,000","58,500,000","4,914",,Y,Health insurance,Agency / Consulting,"Technology, media & telecommunications",Nov-50,Team of 1,No,Fully remote,Skyrain Studio
23/10/2024 2:20,Indonesia,Jakarta,Male,25 - 30,UI/UX Designer,Developer,Full-time employee,Senior IC,Product / UX design,4,5,3 to 5 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"10,000,000","10,000,000",,,"130,000,000","10,920",,Y,"Health insurance, Professional development, training, or learning fund",Small-medium enterprise,Financial services,201 - 1000,2-Oct,Yes,2 days on-site,Crypto Industry
23/10/2024 2:21,Indonesia,Medan,Male,18 - 24,Fullstack Designer,UI/UX Designer,Full-time employee,Senior IC,Front-end / design engineer,4,3,3 to 5 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"5,000,000","1,000,000",,,"61,000,000","5,124",,Y,,Agency / Consulting,"Retail, wholesale & distribution",1-Oct,Team of 1,No,Fully remote,
23/10/2024 2:21,Indonesia,Jakarta,Female,25 - 30,UI/UX Designer,UI/UX Designer,Full-time employee,Junior IC (Entry level),Product / UX design,3,3,3 to 5 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"7,500,000","24,000,000",,,"114,000,000","9,576",,Y,,Large enterprise (MNC),Financial services,51 - 200,2-Oct,No,Fully on-site,Astra Financial
23/10/2024 2:21,Indonesia,Surabaya,Female,25 - 30,UIUX Designer,UI/UX Designer,Full-time employee,Mid-level IC,Visual / UI design,4,4,3 to 5 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"5,165,000",,,,"61,980,000","5,206",,Y,"Meal subsidies, Health insurance",Start-up,"Technology, media & telecommunications",201 - 1000,2-Oct,No,Fully on-site,IDN
23/10/2024 2:24,Indonesia,Bekasi,Male,18 - 24,UI Designer & Lead Business Analys,UI/UX Designer,Full-time employee,Senior IC,Visual / UI design,2,2,Up to 3 years,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Online certification (e.g. Coursera or IDF), Self-taught / informal / unstructured courses",FALSE,TRUE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"5,000,000",,,,"60,000,000","5,040",,Y,"Flexible schedule, Allowance for flexible working arrangement (remote/co-working space), Professional development, training, or learning fund, Transport subsidies, Meal subsidies",Non-profit,"Technology, media & telecommunications",Nov-50,Team of 1,No,Fully remote,
23/10/2024 2:24,Indonesia,Jakarta,Female,18 - 24,UI/UX Designer,Senior Creative Designer,Fixed term contractor,Mid-level IC,Product / UX design,1,1,Up to 3 years,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"12,600,000","12,600,000",,,"163,800,000","13,759",,Y,"Dental insurance, Flexible schedule, Health insurance, Paid medical leave, Onsite food / snacks",Agency / Consulting,"Technology, media & telecommunications",201 - 1000,Nov-50,Yes,Fully on-site,Aleph-labs
